baths,baths_1qtr,baths_3qtr,baths_full,baths_half,beds,garage,lot_sqft,sqft,stories,year_built,price_reduced_amount,latitude,longitude,sub_type_townhouse,type_condo_townhome_rowhome_coop,type_condos,type_duplex_triplex,type_land,type_mobile,type_multi_family,type_single_family,type_townhomes,is_price_reduced_True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,28314.0,0.0,0.0,0.0,50000.0,33.315008,-112.074197,0,0,0,0,1,0,0,0,0,0
1.0,0.0,0.0,1.0,0.0,3.0,0.0,4704.0,1071.0,1.0,1925.0,5000.0,39.808644,-86.109341,0,0,0,0,0,0,0,1,0,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,810.0,2.0,1986.0,20000.0,38.624874,-121.402603,0,0,1,0,0,0,0,0,0,0
3.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,2100.0,0.0,0.0,0.0,38.562704,-92.137743,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,4.0,0.0,11282.0,1788.0,2.0,1986.0,0.0,37.560156,-77.359522,0,0,0,0,0,0,0,1,0,0
3.0,0.0,0.0,2.0,1.0,3.0,2.0,119790.0,2625.0,2.0,1994.0,14000.0,35.539225,-105.889925,0,0,0,0,0,0,0,1,0,0
4.0,0.0,0.0,3.0,1.0,3.0,2.0,6050.0,3535.0,2.0,1977.0,0.0,35.559714,-97.625702,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,2.0,1.0,5227.0,1342.0,0.0,2021.0,0.0,34.110015,-80.828435,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,1.0,1.0,3.0,1.0,5227.0,1398.0,0.0,1939.0,0.0,42.652158,-73.798673,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,2.0,8172.0,1444.0,1.0,1965.0,100000.0,30.316403,-97.670492,0,0,0,0,0,0,0,1,0,0
1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,864.0,2.0,1973.0,0.0,39.697921,-104.909442,0,0,1,0,0,0,0,0,0,0
2.0,0.0,0.0,2.0,0.0,2.0,0.0,1213.0,1120.0,2.0,1965.0,2000.0,33.502731,-112.093068,1,0,0,0,0,0,0,0,1,0
2.0,0.0,0.0,2.0,0.0,3.0,0.0,287060.0,1404.0,1.0,2004.0,0.0,38.243524,-84.920708,0,0,0,0,0,0,0,1,0,0
3.0,0.0,0.0,3.0,0.0,6.0,0.0,6098.0,2315.0,0.0,1895.0,30000.0,41.755939,-72.685983,0,0,0,0,0,0,1,0,0,0
2.0,0.0,0.0,2.0,0.0,4.0,2.0,13747.0,2069.0,1.0,1994.0,0.0,32.343306,-86.167468,0,0,0,0,0,0,0,1,0,0
4.0,0.0,0.0,2.0,2.0,3.0,0.0,11979.0,3432.0,2.0,2004.0,0.0,38.227002,-84.847376,0,0,0,0,0,0,0,1,0,0
3.0,0.0,0.0,2.0,1.0,3.0,2.0,4792.0,2001.0,2.0,2016.0,0.0,43.057796,-89.564436,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,2.0,16988.0,1752.0,1.0,1968.0,0.0,32.312602,-86.287019,0,0,0,0,0,0,0,1,0,0
4.0,0.0,0.0,3.0,1.0,4.0,2.0,29621.0,3288.0,2.0,1987.0,10000.0,32.345345,-86.153421,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,2.0,6970.0,1706.0,1.0,2006.0,0.0,30.423306,-84.182221,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,6.0,0.0,7405.0,3006.0,0.0,1957.0,0.0,41.796347,-72.698808,0,0,0,0,0,0,1,0,0,0
2.0,0.0,1.0,1.0,0.0,3.0,2.0,12009.0,1840.0,1.0,2019.0,400.0,46.98508,-123.016451,0,0,0,0,0,0,0,1,0,0
3.0,0.0,0.0,2.0,1.0,3.0,0.0,2749.0,2000.0,2.0,1910.0,0.0,37.536048,-77.415587,0,0,0,0,0,0,0,1,0,0
